MapChart_ID,Municipio_Nombre,Estado_Sufijo,CVE_ENT,Nom_Limpio,CVEGEO
Nahuatzen_MIC,Nahuatzen,MIC,16,NAHUATZEN,16056
Zacapu_MIC,Zacapu,MIC,16,ZACAPU,16107
Huaniqueo_MIC,Huaniqueo,MIC,16,HUANIQUEO,16037
Panindícuaro_MIC,Panindícuaro,MIC,16,PANINDICUARO,16063
Copándaro_MIC,Copándaro,MIC,16,COPANDARO,16018
Cuitzeo_MIC,Cuitzeo,MIC,16,CUITZEO,16020
Tarímbaro_MIC,Tarímbaro,MIC,16,TARIMBARO,16088
Morelia_MIC,Morelia,MIC,16,MORELIA,16053
Jiménez_MIC,Jiménez,MIC,16,JIMENEZ,16044
Churintzio_MIC,Churintzio,MIC,16,CHURINTZIO,16028
Coeneo_MIC,Coeneo,MIC,16,COENEO,16016
Purépero_MIC,Purépero,MIC,16,PUREPERO,16070
Chucándiro_MIC,Chucándiro,MIC,16,CHUCANDIRO,16027
Magdalena_JAL,Magdalena,JAL,14,MAGDALENA,14055
Hostotipaquillo_JAL,Hostotipaquillo,JAL,14,HOSTOTIPAQUILLO,14040
Ixtlán_del_Río_NAY,Ixtlán del Río,NAY,18,IXTLAN DEL RIO,18006
Santa_María_del_Oro_NAY,Santa María del Oro,NAY,18,SANTA MARIA DEL ORO,18014
Compostela_NAY,Compostela,NAY,18,COMPOSTELA,18004
San_Pedro_Lagunillas_NAY,San Pedro Lagunillas,NAY,18,SAN PEDRO LAGUNILLAS,18013
Jala_NAY,Jala,NAY,18,JALA,18007
Tecolotlán_JAL,Tecolotlán,JAL,14,TECOLOTLAN,14088
Paracho_MIC,Paracho,MIC,16,PARACHO,16065
La_Paz_BCS,La Paz,BCS,03,LA PAZ,03003
Chicxulub Pueblo_31020,Chicxulub Pueblo,,31,CHICXULUB PUEBLO,31020
Medellín de Bravo_30105,Medellín de Bravo,,30,MEDELLÍN DE BRAVO,30105
Cihuatlán_14022,Cihuatlán,,14,CIHUATLÁN,14022
Comala_06003,Comala,,06,COMALA,06003
Vista Hermosa_16105,Vista Hermosa,N/A,16,VISTA HERMOSA,16105
